Initials,Role,Pronouns,LEC,DIS,LAB,Majors,Terms in Attendance,Units,Grading Basis,Waitlist Position
CC,Student,,001,101,012,"Business Administration BS, Industrial Eng & Ops Rsch BS",8,4,Letter,
HM,Student,,001,101,015,Electrical Eng & Comp Sci BS,8,4,Letter,
LB,Student,,001,101,012,Mechanical Engineering BS,7,4,Letter,
AF,Student,,001,101,015,"Business Administration BS, Mechanical Engineering BS",4,4,Letter,
GM,Student,,001,101,014,Civil Engineering BS,6,4,Letter,
AN,Student,,001,101,011,Civil Engineering BS,6,4,Letter,
AJ,Student,,001,101,012,Nuclear Engineering BS,3,4,Letter,
DA,Student,They/Them/Theirs,001,101,013,Civil Engineering BS,6,4,Letter,
DL,Student,,001,101,011,Industrial Eng & Ops Rsch BS,6,4,Letter,
MG,Student,,001,101,014,Chemistry BS,5,4,Letter,
KD,Student,,001,101,011,Civil Engineering BS,3,4,Letter,
TF,Student,,001,101,015,Civil Engineering BS,3,4,Letter,
GA,Student,,001,101,015,Civil Engineering BS,4,4,Letter,
DM,Student,,001,101,014,Letters & Sci Undeclared UG,6,4,Letter,
RM,Student,She/Her/Hers,001,101,012,Civil Engineering BS,2,4,Letter,
RA,Student,He/Him/His,001,101,011,Mechanical Engineering BS,4,4,Letter,
SE,Student,,001,101,015,Energy Engineering BS,2,4,Letter,
TR,Student,,001,101,013,Electrical Eng & Comp Sci BS,4,4,Letter,
TP,Student,,001,101,011,Energy Engineering BS,2,4,Letter,
LD,Student,,001,101,014,Chemical Engineering BS,2,4,Letter,
TC,Student,,001,101,015,Civil Engineering BS,4,4,Letter,
VA,Student,He/Him/His,001,101,011,Mechanical Engineering BS,2,4,Letter,
RR,Student,,001,101,012,Nuclear Engineering BS,4,4,Letter,
HM,Student,,001,101,015,Civil Engineering BS,4,4,Letter,
FJ,Student,She/Her/Hers,001,101,015,Civil Engineering BS,2,4,Letter,
WA,Student,,001,101,011,Industrial Eng & Ops Rsch BS,4,4,Letter,
WS,Student,,001,101,015,Civil Engineering BS,4,4,Letter,
SD,Student,,001,101,015,Civil Engineering BS,4,4,Letter,
SP,Student,,001,101,011,Chemistry BS,4,4,Letter,
DM,Student,,001,101,014,Nuclear Engineering BS,4,4,Letter,
HC,Student,,001,101,012,Mechanical Engineering BS,2,4,Letter,
GE,Student,,001,101,012,Civil Engineering BS,4,4,Letter,
RC,Student,,001,101,013,Civil Engineering BS,4,4,Letter,
SS,Student,,001,101,011,Bioengineering BS,4,4,Letter,
GD,Student,He/Him/His,001,101,011,Civil Engineering BS,4,4,Letter,
ME,Student,He/Him/His,001,101,011,Mechanical Engineering BS,4,4,Letter,
BC,Student,,001,101,015,Industrial Eng & Ops Rsch BS,4,4,Letter,
MJ,Student,He/Him/His,001,101,012,Civil Engineering BS,4,4,Letter,
